time_id,rmse,mae,mda
128,3.9555505005604835e-05,2.597799047354631e-05,0.8
337,4.1682998848609996e-05,3.338726680453049e-05,0.8
373,7.66332993342126e-05,4.4356259414428686e-05,1.0
535,2.240661386370986e-05,1.6559921170751923e-05,1.0
886,4.4738192731946855e-05,4.099400292572184e-05,1.0
1365,5.515268398472878e-05,4.861884042886122e-05,0.8
2184,5.24398141406537e-05,4.668365168548831e-05,0.8
2259,3.3736670248671204e-05,2.4975655650793986e-05,0.8
2392,0.00027196722800399776,0.00017459365672306567,0.4
2491,2.6490640343851405e-05,2.029716526759277e-05,0.6
2568,6.826680934569563e-05,5.030863881245681e-05,0.8
3655,9.009652306506603e-05,6.24749108587907e-05,0.8
4004,3.691668797230312e-05,2.426255269277221e-05,0.6
4106,4.3986688566425085e-05,3.592383757771356e-05,0.6
4173,3.455922905123617e-05,3.104739719916579e-05,1.0
4310,0.00011288057814370296,7.29448118683577e-05,0.6
4432,3.133747469427589e-05,2.5073568811835475e-05,1.0
5300,1.5949061962852837e-05,1.0954010134249977e-05,1.0
5347,3.312571105682419e-05,2.797777728036822e-05,1.0
5510,3.0391157438870396e-05,2.707959358062354e-05,0.8
5749,5.877168561372391e-05,3.0235827579939027e-05,1.0
5756,6.14667327266325e-05,5.279797160900855e-05,0.8
6089,4.4029475430993377e-05,2.5463637575138924e-05,0.6
6102,2.899997322433809e-05,2.392254342439932e-05,0.8
6562,5.018611338870512e-05,3.845123831021266e-05,0.8
6782,8.113931048428423e-05,6.311086219867472e-05,1.0
6931,7.946776746871e-05,5.295919412345466e-05,0.6
7629,5.373809491421025e-05,4.5748679131203845e-05,0.8
7843,1.9716907350515884e-05,1.4081185132430358e-05,1.0
8068,0.00012428462496655562,9.728240931006109e-05,0.8
8101,0.0001466111812783843,9.408656930341013e-05,0.4
8573,6.465771253028528e-05,4.5971077180400916e-05,0.6
8708,8.789320995379576e-05,7.618697776257008e-05,1.0
9100,5.940840186130431e-05,4.186288030461251e-05,0.6
9427,0.00045251110221504286,0.00033402361434703545,0.8
10123,5.7180756501318306e-05,4.333674558753378e-05,0.8
10530,7.686447036301492e-05,6.669949913166626e-05,0.6
10559,6.950283147636408e-05,5.40201310616267e-05,0.8
10628,3.0687507037565816e-05,2.2978022427155506e-05,1.0
10932,7.465292747033075e-05,5.1745238178517606e-05,0.8
11642,0.00013389504856549614,6.630347771577779e-05,1.0
11987,1.9925540099493578e-05,1.8442995796991297e-05,0.6
12073,6.87118409254737e-05,5.882116609593219e-05,0.6
12103,5.740227526493729e-05,4.318856783166301e-05,0.6
12419,2.128844789034895e-05,1.7170794500466668e-05,0.8
12481,5.739626263734399e-05,5.0105183649685386e-05,0.8
12498,8.476031993512494e-05,5.7164917480863517e-05,1.0
13102,1.9963088142526303e-05,1.560106199641647e-05,1.0
13217,3.66136723646215e-05,3.0181101272515172e-05,1.0
13382,0.00010031258300568354,8.982398674348715e-05,1.0
13436,4.5866748968626706e-05,4.2233412112910556e-05,0.8
13484,2.252064530568753e-05,1.89644406313289e-05,1.0
13579,0.00016366238542864226,7.921051520321265e-05,0.6
14561,8.67436873298665e-05,6.451007150485022e-05,0.8
14579,4.440040452946628e-05,3.7071465320989725e-05,0.6
14797,3.9331022468826265e-05,2.874759574375726e-05,0.6
15633,4.670696270796803e-05,4.311123415421387e-05,1.0
16017,7.611874473843548e-05,4.869331265800155e-05,1.0
16660,4.756066499211656e-05,3.270168992691203e-05,0.8
16774,7.840345679626883e-05,6.788090945275198e-05,1.0
17259,3.878852860952532e-05,2.5342978823206237e-05,1.0
17293,6.259844983957724e-05,5.7500491632000865e-05,1.0
17315,8.781793668000586e-05,7.665199002733234e-05,0.8
17565,0.00013061355949394528,0.00010538881468817077,0.6
17841,4.283272612385928e-05,3.2732147292357237e-05,0.8
18178,3.1939463539671566e-05,2.3214586991346753e-05,0.8
18212,7.527643894007705e-05,6.234207114991632e-05,0.2
18514,2.9197234557652498e-05,1.659010794952005e-05,1.0
18993,7.729220054128122e-05,5.2262423910544114e-05,0.6
20329,0.00025898048130018505,0.00017779216000807045,0.8
21083,4.792962163816313e-05,3.858656315094465e-05,1.0
21805,0.00028916688225704643,0.00018673469951003757,1.0
22038,5.3531799490584324e-05,4.571380593161381e-05,1.0
23202,6.142461368501188e-05,3.948184715465876e-05,1.0
23220,5.525707238149599e-05,3.6449906761577793e-05,1.0
23226,3.717315436679139e-05,2.8937471371350394e-05,1.0
23265,9.104002140534166e-05,6.087158173359374e-05,1.0
23405,3.743182781531625e-05,3.19091432413992e-05,0.8
24357,0.00014337301305997964,0.00010467431204707685,0.8
25437,8.751012934699547e-05,7.872143352156972e-05,1.0
25584,6.655607486907782e-05,5.2129961706196194e-05,0.8
26125,6.70603669021138e-05,6.024746017427312e-05,0.6
26336,0.00014085690532218746,0.00010885711296214537,0.8
27771,6.187378731828391e-05,5.339837845210864e-05,1.0
28022,6.44647750159815e-05,4.495670665312823e-05,0.2
28078,6.254834196402548e-05,4.590853229633444e-05,1.0
28512,4.0619697962296315e-05,3.505579713779185e-05,0.8
28656,6.134838423871487e-05,5.0888519446518315e-05,0.8
28820,0.0002555322539203768,0.0001479814341444073,1.0
28983,5.547864070707994e-05,4.236938939140251e-05,0.6
29885,5.947449824246159e-05,5.643645151591299e-05,0.8
30023,6.600706304416268e-05,6.174421662695739e-05,0.8
30232,8.064317956164337e-05,6.292042978079026e-05,0.6
30641,5.073143083633475e-05,4.7221980888805585e-05,0.8
30774,8.490364131123164e-05,5.728162361842866e-05,1.0
30793,0.00017000940945559776,8.457413117892827e-05,1.0
31083,0.00013008226225379627,6.89895740496991e-05,0.8
31170,0.00020730679595025564,0.00018920834365081964,1.0
31236,7.553373110189052e-05,6.310867120066617e-05,0.8
32748,6.626230960896174e-05,5.485360219292841e-05,0.8
159,4.480772767095616e-05,2.9681126884572245e-05,0.8
436,1.1556709387010399e-05,7.043288851846e-06,1.0
947,1.638705994296348e-05,1.4296187833788977e-05,0.8
1348,3.828731044523672e-05,3.132822805610771e-05,0.8
1565,1.2800784924370187e-05,1.060577134493323e-05,1.0
1827,3.1243078022420656e-05,2.1197495634162236e-05,1.0
2076,2.5805830650448802e-05,1.8891500684349672e-05,0.8
2125,1.9631975791618872e-05,1.4329502717436235e-05,0.6
2447,1.9140421755877685e-05,1.4386556671330464e-05,1.0
2903,6.744258053283979e-05,5.252368444005881e-05,1.0
2908,2.559522716524987e-05,2.3045736161169764e-05,0.6
2992,6.817689999980867e-05,3.79984527240496e-05,0.6
3333,3.2311499023088656e-05,2.8216280320816634e-05,1.0
4032,5.60265832800081e-05,3.803856462910625e-05,1.0
4377,2.537027901557642e-05,1.806772477367655e-05,0.8
4493,4.067261256979726e-05,3.094948784069371e-05,1.0
4601,3.398302413222303e-05,3.0159496370494573e-05,0.8
4616,9.405932221289749e-05,6.488647200317837e-05,1.0
5124,2.3474113715059293e-05,1.9271543090637253e-05,1.0
5218,2.8183674755489778e-05,2.064582851391424e-05,0.6
5302,2.2954422425062507e-05,2.1538080818340538e-05,1.0
5682,2.2965892946004872e-05,1.8664877647465322e-05,1.0
5904,3.1263963933510433e-05,2.22416263444301e-05,1.0
6068,1.862092173430011e-05,1.5377542633640958e-05,1.0
6177,0.00011744339904532774,6.055459433406177e-05,0.8
6356,3.3782857381081926e-05,2.991632625813992e-05,0.8
6566,3.152881716229673e-05,2.603759451952451e-05,1.0
7632,0.00029232747189390134,0.00020300935906701913,0.8
7752,2.3431636795584562e-05,1.3438506899786625e-05,0.8
7884,0.0001290340395464873,0.00010550494221490087,0.8
8623,3.985933618082306e-05,2.957859361352873e-05,1.0
8776,3.168663337176441e-05,2.3827848216521652e-05,1.0
9779,0.00017625514505807368,9.922479584834364e-05,1.0
10071,8.209726849261028e-05,4.8980710849401425e-05,1.0
10642,1.1102166660771778e-05,8.483911952320935e-06,0.4
10708,1.7468203748284696e-05,1.2301975418506684e-05,0.8
10751,6.963514095897303e-05,5.948901676534049e-05,1.0
10767,4.2814575631630646e-05,3.093115343758249e-05,0.8
10779,4.0495284160812005e-05,3.218478194714938e-05,1.0
10892,5.180175287454178e-05,3.954121198173287e-05,0.6
11120,1.3369175814792224e-05,1.1697088013406877e-05,0.8
11735,0.00012245289282619668,0.00011011962772474114,0.6
12225,1.8468801224312564e-05,1.2443423799648879e-05,1.0
13362,7.922485395450543e-06,6.556026802164628e-06,0.8
13643,0.0001548214110518207,9.167826364018149e-05,0.6
13791,0.00012144366425512475,8.674851065586853e-05,0.4
14176,4.856081103383387e-05,3.587159455806856e-05,0.8
14312,9.852313938614747e-06,7.354261807496515e-06,1.0
14422,1.6822562376351267e-05,1.4746388492684471e-05,1.0
14751,1.1825034445780619e-05,7.9683411414415e-06,1.0
14926,6.181017576335325e-05,3.53337400242425e-05,1.0
14970,7.794202450067733e-05,4.9898587366216004e-05,0.8
15335,3.553126674885279e-05,2.5146289115818318e-05,0.8
15547,2.3630182257692007e-05,1.971459841091433e-05,0.8
15671,9.173016638424294e-05,6.0419016685615955e-05,1.0
15765,2.9754007636092462e-05,2.5340543709705403e-05,0.6
15840,3.6891155174975425e-05,2.2426441652475566e-05,1.0
17109,2.7013328381440963e-05,2.3400365176756675e-05,1.0
18082,2.673759812996109e-05,2.0478472669090425e-05,0.6
18586,5.223273381651936e-05,4.632295481426084e-05,1.0
18916,3.7420532580376065e-05,3.617883660424835e-05,0.8
19155,6.34517489563996e-05,4.606236144156868e-05,1.0
19489,8.546695404577073e-06,7.241198434881846e-06,0.8
19531,2.733900326709237e-05,1.8295069343004317e-05,0.8
19725,0.00036930055719282723,0.00032975362560749844,0.8
20172,2.9572623230990616e-05,2.204864825310474e-05,0.8
20405,1.4917310201687787e-05,1.097292859238457e-05,0.6
20499,1.0746179380934723e-05,8.923336710404942e-06,0.8
20858,6.372300774088883e-06,5.651314407078993e-06,0.8
20914,9.9418174423974e-06,6.439287848648045e-06,1.0
20944,2.5710256998719495e-05,1.9985649375279792e-05,0.8
21602,2.4235407136011588e-05,2.229976525252412e-05,1.0
22026,2.1411484355266153e-05,1.7130509524922234e-05,1.0
22697,2.7152430460713363e-05,2.155518862178161e-05,1.0
23796,1.2016542065600878e-05,9.873195462942673e-06,1.0
23962,4.548042145854785e-05,2.920666166060484e-05,0.6
24073,7.6996026464029e-05,5.8207675886182044e-05,0.6
24662,1.3423281747488038e-05,1.0419469945062141e-05,1.0
25641,4.882323233554168e-05,3.1025048837294196e-05,0.8
26572,1.8665637137560286e-05,1.5279119093731676e-05,1.0
26798,4.624225262313563e-06,4.161284827754292e-06,0.8
27014,5.161465073495041e-05,3.575079468199326e-05,1.0
27215,0.00013213727963651178,7.350957987612177e-05,0.8
27427,5.604530629476141e-05,4.4018824264995205e-05,1.0
27514,5.23460669083048e-05,4.0366168589198096e-05,1.0
27833,2.6693054550536363e-05,2.3327513628971534e-05,0.6
27886,4.761869437996861e-05,2.9864341083861212e-05,1.0
28596,8.2069667995392e-05,6.99810700196779e-05,0.8
29246,2.57110455536688e-05,1.7396807984013264e-05,1.0
29480,2.449817241751955e-05,1.9070949888877037e-05,0.8
29494,1.6823321212681665e-05,1.239158433521901e-05,0.8
29507,3.2797504461611594e-05,2.353493018877154e-05,1.0
29672,2.0936642084563375e-05,1.630208822026022e-05,0.8
30657,7.818127880290552e-05,6.0231538907712895e-05,0.8
30798,2.3674851078985855e-05,1.7809696264707922e-05,0.6
30824,0.00020471097518610584,0.0001549070173776137,0.2
31331,0.00011823034439076247,7.530885919398673e-05,0.8
31854,9.226737533423189e-05,7.298105539749124e-05,0.6
32330,1.6949577523932844e-05,1.4614890087016175e-05,1.0
32736,0.00012748188510589028,7.139883193030516e-05,1.0
157,4.8168873201526226e-05,3.75372472659702e-05,0.6
633,8.867121361547528e-05,5.688954966150974e-05,1.0
886,9.885488249958778e-05,7.304548876737101e-05,1.0
1292,3.9492198186367864e-05,3.590608919634303e-05,1.0
1513,5.6451589454156776e-05,4.115345469623452e-05,0.6
1663,6.715524139708052e-05,6.052026018075007e-05,0.8
1810,8.041151404919839e-05,5.315998500941678e-05,1.0
1820,6.399056172653233e-05,3.991644297167709e-05,0.8
1862,9.751718501661965e-05,7.874190565770395e-05,1.0
1920,0.00012555884612726884,8.027020230630031e-05,0.8
1998,0.0001983758617493503,0.0001323706137589329,1.0
2553,0.00012205269080704429,7.930118851766508e-05,0.4
2567,4.204616182204203e-05,2.8551108740582092e-05,1.0
